Abilene Christian University (Abilene, TX)
Palm Beach Atlantic University (West Palm Beach, FL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pepperdine University (Malibu, CA)
Point Loma Nazarene University (San Diego, CA)
Portland State University (Portland, OR)
Presbyterian College (Clinton, SC)
Prescott College (Prescott, AZ)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Ramapo College of New Jersey (Mahwah, NJ)
Regis University (Denver, CO)
Rensselaer Polytechnic Institute (Troy, NY)
Rhodes College (Memphis, TN)
Rice University (Houston, TX)
Richard Stockton College of New Jersey (Pomona, NJ)
Roanoke College (Salem, VA)
Roberts Wesleyan College (Rochester, NY)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Albany (Albany, NY)
SUNY College &#8212; Brockport (Brockport, NY)
SUNY College at Oneonta (Oneonta, NY)
Saint Anselm College (Manchester, NH)
Saint Augustine's College (Raleigh, NC)
Saint Francis University (Loretto, PA)
Saint Mary's College (Notre Dame, IN)
Saint Michael's College (Colchester, VT)
Salem College (Winston-Salem, NC)
Samford University (Birmingham, AL)
San Francisco State University (San Francisco, CA)
Santa Clara University (Santa Clara, CA)
Seattle Pacific University (Seattle, WA)
Seton Hall University (South Orange, NJ)
Shaw University (Raleigh, NC)
Simpson College (Indianola, IA)
Southeast Missouri State University (Cape Girardeau, MO)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Southern Methodist University (Dallas, TX)
Southwestern College (Winfield, KS)
Spalding University (Louisville, KY)
Spelman College (Atlanta, GA)
Spring Arbor University (Spring Arbor, MI)
St. Bonaventure University (St. Bonaventure, NY)
St. Catherine University (St. Paul, MN)
St. John Fisher College (Rochester, NY)
St. John's University (Collegeville, MN)
St. John's University (Queens, NY)
St. Louis University (St. Louis, MO)
St. Mary's University of San Antonio (San Antonio, TX)
St. Norbert College (De Pere, WI)
St. Olaf College (Northfield, MN)
St. Peter's College (Jersey City, NJ)
St. Xavier University (Chicago, IL)
Stanford University (Stanford, CA)
Sterling College (Craftsbury Common, VT)
Stonehill College (Easton, MA)
Susquehanna University (Selinsgrove, PA)
Swarthmore College (Swarthmore, PA)
Sweet Briar College (Sweet Briar, VA)
Syracuse University (Syracuse, NY)
Taylor University (Upland, IN)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
The College of New Jersey (Ewing, NJ)
The College of St. Rose (Albany, NY)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of Tulsa (Tulsa, OK)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Tusculum College (Greeneville, TN)
Union University (Jackson, TN)
United States Air Force Academy (USAF Academy, CO)
United States Coast Guard Academy (New London, CT)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Arkansas at Little Rock (Little Rock, AR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Davis (Davis, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Central Florida (Orlando, FL)
University of Cincinnati (Cincinnati, OH)
University of Colorado, Boulder (Boulder, CO)
University of Dayton (Dayton, OH)
University of Denver (Denver, CO)
University of Detroit Mercy (Detroit, MI)
University of Iowa (Iowa City, IA)
University of Mary (Bismarck, ND)
University of Mary Hardin&#8211;Baylor (Belton, TX)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Maryland, College Park (College Park, MD)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Mount Union (Alliance, OH)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Nevada, Reno (Reno, NV)
University of North Carolina at Asheville (Asheville, NC)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Northern Iowa (Cedar Falls, IA)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Portland (Portland, OR)
University of Redlands (Redlands, CA)
University of Rhode Island (Kingston, RI)
University of Richmond (University of Richmond, VA)
University of Saint Thomas (St. Paul, MN)
University of San Francisco (San Francisco, CA)
University of Scranton (Scranton, PA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of South Dakota (Vermillion, SD)
University of Southern California (Los Angeles, CA)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
University of the Southwest (Hobbs, NM)
Valdosta State University (Valdosta, GA)
Valparaiso University (Valparaiso, IN)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Virginia Wesleyan College (Norfolk, VA)
Viterbo University (La Crosse, WI)
Wabash College (Crawfordsville, IN)
Wake Forest University (Winston Salem, NC)
Wartburg College (Waverly, IA)
Washington State University (Pullman, WA)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
West Virginia University (Morgantown, WV)
Westminster College (New Wilmington, PA)
Westmont College (Santa Barbara, CA)
Wheaton College (Wheaton, IL)
Wheeling Jesuit University (Wheeling, WV)
Whittier College (Whittier, CA)
William Penn University (Oskaloosa, IA)
Wilmington College (Wilmington, OH)
Wilson College (Chambersburg, PA)
Winthrop University (Rock Hill, SC)
Wofford College (Spartanburg, SC)
Worcester Polytechnic Institute (Worcester, MA)
Xavier University (Cincinnati, OH)
Yale University (New Haven, CT)
York College (York, NE)
Youngstown State University (Youngstown, OH)
