California Institute of Technology (Pasadena, CA): 3:1
Manhattan School of Music (New York, NY): 3:1
Massachusetts Institute of Technology (Cambridge, MA): 3:1
Paier College of Art (Hamden, CT): 3:1
Shasta Bible College and Graduate School (Redding, CA): 3:1
VanderCook College of Music (Chicago, IL): 3:1
Antioch College (Yellow Springs, OH): 4:1
Juilliard School (New York, NY): 4:1
SUNY &#8212; Korea (Yeonsu-Gu, Incheon, SK): 4:1
Chamberlain University &#8212; Houston (Houston, TX): 5:1
Cleveland Institute of Music (Cleveland, OH): 5:1
Conservatory of Music of Puerto Rico (San Juan, PR): 5:1
Princeton University (Princeton, NJ): 5:1
Rush University (Chicago, IL): 5:1
Stanford University (Stanford, CA): 5:1
Sweet Briar College (Sweet Briar, VA): 5:1
The Boston Conservatory (Boston, MA): 5:1
The New School for Drama (New York, NY): 5:1
The University of Chicago (Chicago, IL): 5:1
Bryn Athyn College (Bryn Athyn, PA): 6:1
Columbia University (New York, NY): 6:1
Duke University (Durham, NC): 6:1
Gallaudet University (Washington, DC): 6:1
Harvard University (Cambridge, MA): 6:1
Judson College (Marion, AL): 6:1
Landmark College (Putney, VT): 6:1
Maharishi University of Management (Fairfield, IA): 6:1
Northwestern University (Evanston, IL): 6:1
Principia College (Elsah, IL): 6:1
Rice University (Houston, TX): 6:1
The Cooper Union for the Advancement of Science and Art (New York, NY): 6:1
University of Pennsylvania (Philadelphia, PA): 6:1
Yale University (New Haven, CT): 6:1
Alaska Bible College (Palmer, AK): 7:1
Amherst College (Amherst, MA): 7:1
Brown University (Providence, RI): 7:1
Dartmouth College (Hanover, NH): 7:1
Design Institute of San Diego (San Diego, CA): 7:1
Institute of American Indian Arts (Santa Fe, NM): 7:1
Johns Hopkins University (Baltimore, MD): 7:1
Potomac, University of the (Washington, DC): 7:1
Resurrection University (Chicago, IL): 7:1
San Francisco Conservatory of Music (San Francisco, CA): 7:1
School of Visual Arts (New York, NY): 7:1
Silver Lake College (Manitowoc, WI): 7:1
St. John's College (Annapolis, MD): 7:1
Stephens College (Columbia, MO): 7:1
The Catholic University of America (Washington, DC): 7:1
United States Coast Guard Academy (New London, CT): 7:1
United States Military Academy (West Point, NY): 7:1
University of North Carolina School of the Arts (Winston-Salem, NC): 7:1
University of the Sciences in Philadelphia (Philadelphia, PA): 7:1
Vanderbilt University (Nashville, TN): 7:1
Washington University in St. Louis (St. Louis, MO): 7:1
Williams College (Williamstown, MA): 7:1
Yeshiva University (New York, NY): 7:1
Alaska Pacific University (Anchorage, AK): 8:1
Appalachian Bible College (Mount Hope, WV): 8:1
Baptist College of Florida (Graceville, FL): 8:1
Bard College at Simon's Rock (Great Barrington, MA): 8:1
Buena Vista University (Storm Lake, IA): 8:1
California College of the Arts (San Francisco, CA): 8:1
Claremont McKenna College (Claremont, CA): 8:1
Criswell College (Dallas, TX): 8:1
Franklin W. Olin College of Engineering (Needham, MA): 8:1
Harvey Mudd College (Claremont, CA): 8:1
Holy Names University (Oakland, CA): 8:1
Judson University (Elgin, IL): 8:1
Keuka College (Keuka Park, NY): 8:1
Lawrence University (Appleton, WI): 8:1
Middlebury College (Middlebury, VT): 8:1
Montserrat College of Art (Beverly, MA): 8:1
New College of Florida (Sarasota, FL): 8:1
Pennsylvania State University &#8212; Shenango (Sharon, PA): 8:1
Pomona College (Claremont, CA): 8:1
Skidmore College (Saratoga Springs, NY): 8:1
Smith College (Northampton, MA): 8:1
Soka University of America (Aliso Viejo, CA): 8:1
St. John's College (Santa Fe, NM): 8:1
St. Louis Christian College (Florissant, MO): 8:1
