 class="name">St. Louis Community C (MO)
 class="name">Teachers C, Columbia U (NY)
Michigan State University (East Lansing, MI)
Midlands Technical College (Columbia, SC)
Midwestern State University (Wichita Falls, TX)
Milwaukee Area Technical College (Milwaukee, WI)
Missouri State University (Springfield, MO)
Montana State University &#8212; Billings (Billings, MT)
Montana State University &#8212; Bozeman (Bozeman, MT)
Mott Community College (Flint, MI)
Nassau Community College (Garden City, NY)
New River Community College (Dublin, VA)
North Central University (Minneapolis, MN)
North Idaho College (Coeur d'Alene, ID)
Northeast Wisconsin Technical College (Green Bay, WI)
Northeastern Illinois University (Chicago, IL)
Northeastern University (Boston, MA)
Northern Essex Community College (Haverhill, MA)
Northern Illinois University (DeKalb, IL)
Northwest Florida State College (Niceville, FL)
Northwestern Connecticut Community College (Winsted, CT)
Northwestern Michigan College (Traverse City, MI)
Oakland University (Rochester, MI)
Ohlone College (Fremont, CA)
Oklahoma State University (Stillwater, OK)
Oklahoma State University &#8212; Oklahoma City Campus (Oklahoma City, OK)
Oxnard College (Oxnard, CA)
Pasadena City College (Pasadena, CA)
Phoenix College (Phoenix, AZ)
Pikes Peak Community College (Colorado Springs, CO)
Pima Community College (Tucson, AZ)
Portland State University (Portland, OR)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Quinsigamond Community College (Worcester, MA)
Red Rocks Community College (Lakewood, CO)
Rochester Institute of Technology (Rochester, NY)
Rock Valley College (Rockford, IL)
SUNY &#8212; Binghamton (Binghamton, NY)
Saint Paul College (St. Paul, MN)
Salt Lake Community College (Salt Lake City, UT)
San Diego Mesa College (San Diego, CA)
San Francisco State University (San Francisco, CA)
San Joaquin Delta College (Stockton, CA)
Santa Ana College (Santa Ana, CA)
Santa Clara University (Santa Clara, CA)
Santa Rosa Junior College (Santa Rosa, CA)
Shasta College (Redding, CA)
South Texas College (McAllen, TX)
SouthWest Collegiate Institute for the Deaf (Big Spring, TX)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Spokane Community College (Spokane, WA)
St. Ambrose University (Davenport, IA)
St. Cloud State University (St. Cloud, MN)
St. Petersburg College (St. Petersburg, FL)
St. Philip's College &#8212; Southwest Campus (San Antonio, TX)
Stephen F. Austin State University (Nacogdoches, TX)
Texas A&M University &#8212; College Station (College Station, TX)
The Community College of Baltimore County (Baltimore , MD)
The School of the Art Institute of Chicago (Chicago, IL)
The University of Arizona (Tucson, AZ)
The University of Montana (Missoula, MT)
The University of New Mexico (Albuquerque, NM)
The University of Texas at Austin (Austin, TX)
Tulsa Community College (Tulsa, OK)
Tyler Junior College (Tyler, TX)
University of Baltimore (Baltimore, MD)
University of California, Berkeley (Berkeley, CA)
University of California, Davis (Davis, CA)
University of California, San Diego (La Jolla, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Colorado, Boulder (Boulder, CO)
University of Denver (Denver, CO)
University of Georgia (Athens, GA)
University of Houston &#8212; Clear Lake (Houston, TX)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Louisville (Louisville, KY)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Duluth (Duluth, MN)
University of North Carolina at Charlotte (Charlotte, NC)
University of North Florida (Jacksonville, FL)
University of Northern Iowa (Cedar Falls, IA)
University of Sioux Falls (Sioux Falls, SD)
University of Texas at El Paso (El Paso, TX)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI)
Utah State University (Logan, UT)
Utah Valley University (Orem, UT)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Waubonsee Community College (Sugar Grove, IL)
West Liberty University (West Liberty, WV)
West Texas A&M University (Canyon, TX)
Western Connecticut State University (Danbury, CT)
Western Kentucky University (Bowling Green, KY)
Western Oregon University (Monmouth, OR)
Western Technical College (El Paso, TX)
Western Washington University (Bellingham, WA)
Wichita State University (Wichita, KS)
York Technical College (Rock Hill, SC)
