Acadia University (Wolfville, CN)
Salisbury University (Salisbury, MD)
Savannah State University (Savannah, GA)
Shawnee State University (Portsmouth, OH)
Shepherd University (Shepherdstown, WV)
Shippensburg University of Pennsylvania (Shippensburg, PA)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
Sonoma State University (Rohnert Park, CA)
South Carolina State University (Orangeburg, SC)
Southeast Missouri State University (Cape Girardeau, MO)
Southeastern Oklahoma State University (Durant, OK)
Southern Arkansas University (Magnolia, AR)
Southern Connecticut State University (New Haven, CT)
Southern Oregon University (Ashland, OR)
Southern University and A&M College (Baton Rouge, LA)
Southern Utah University (Cedar City, UT)
Southwestern Oklahoma State University (Weatherford, OK)
St. Mary's College of Maryland (St. Mary's City, MD)
St. Thomas University (Fredericton, New Brunswick, CN)
Tennessee Technological University (Cookeville, TN)
Texas A&M International University (Laredo, TX)
Texas A&M University &#8212; Commerce (Commerce, TX)
Texas A&M University &#8212; Corpus Christi (Corpus Christi, TX)
Texas A&M University &#8212; Kingsville (Kingsville, TX)
Texas A&M University &#8212; Texarkana (Texarkana, TX)
The Citadel (Charleston, SC)
The College at Brockport, SUNY (Brockport, NY)
The College of New Jersey (Ewing, NJ)
The Evergreen State College (Olympia, WA)
The Ohio State University at Lima (Lima, OH)
The Ohio State University at Mansfield (Mansfield, OH)
The Ohio State University at Marion (Marion, OH)
The University of Alabama, Huntsville (Huntsville, AL)
The University of Montana (Missoula, MT)
The University of Montana Western (Dillon, MT)
The University of Texas of the Permian Basin (Odessa, TX)
Truman State University (Kirksville, MO)
United States Air Force Academy (USAF Academy, CO)
United States Coast Guard Academy (New London, CT)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Alaska Fairbanks (Fairbanks, AK)
University of Alaska, Southeast (Juneau, AK)
University of Arkansas at Little Rock (Little Rock, AR)
University of Arkansas at Pine Bluff (Pine Bluff, AR)
University of California at Merced (Merced, CA)
University of Central Arkansas (Conway, AR)
University of Central Missouri (Warrensburg, MO)
University of Guam (Mangilao, GU)
University of Hawaii &#8212; West Oahu (Kapolei, HI)
University of Hawaii at Hilo (Hilo, HI)
University of Houston &#8212; Clear Lake (Houston, TX)
University of Houston &#8212; Victoria (Victoria, TX)
University of Idaho (Moscow, ID)
University of Illinois Springfield (Springfield, IL)
University of Louisiana at Monroe (Monroe, LA)
University of Maine (Orono, ME)
University of Maine &#8212; Farmington (Farmington, ME)
University of Maine &#8212; Presque Isle (Presque Isle, ME)
University of Maine at Fort Kent (Fort Kent, ME)
University of Maine at Machias (Machias, ME)
University of Mary Washington (Fredericksburg, VA)
University of Maryland, Eastern Shore (Princess Anne, MD)
University of Massachusetts Dartmouth (North Dartmouth, MA)
University of Michigan &#8212; Dearborn (Dearborn, MI)
University of Michigan &#8212; Flint (Flint, MI)
University of Minnesota &#8212; Morris (Morris, MN)
University of Minnesota Duluth (Duluth, MN)
University of Minnesota at Crookston (Crookston, MN)
University of Montevallo (Montevallo, AL)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of New Hampshire at Manchester (Manchester, NH)
University of North Alabama (Florence, AL)
University of North Carolina School of the Arts (Winston-Salem, NC)
University of North Carolina at Asheville (Asheville, NC)
University of North Carolina at Pembroke (Pembroke, NC)
University of Northern Iowa (Cedar Falls, IA)
University of Pittsburgh at Bradford (Bradford, PA)
University of Pittsburgh at Greensburg (Greensburg, PA)
University of Pittsburgh at Johnstown (Johnstown, PA)
University of Puerto Rico &#8212; Arecibo (Arecibo, PR)
University of Puerto Rico &#8212; Ponce (Ponce, PR)
University of Puerto Rico, Bayamon (Bayamon, PR)
University of Science and Arts of Oklahoma (Chickasha, OK)
University of South Carolina &#8212; Beaufort (Bluffton, SC)
University of South Carolina &#8212; Upstate (Spartanburg, SC)
University of South Carolina, Aiken (Aiken, SC)
University of South Dakota (Vermillion, SD)
University of South Florida, Sarasota&#8211;Manatee (Sarasota, FL)
University of Southern Indiana (Evansville, IN)
University of Southern Maine (Gorham, ME)
University of St. Andrews (Fife, Scotland, UK)
University of Tennessee at Chattanooga (Chattanooga, TN)
University of Tennessee at Martin (Martin, TN)
University of Texas at Tyler (Tyler, TX)
University of Virginia &#8212; Wise (Wise, VA)
University of Washington, Bothell (Bothell, WA)
University of Washington, Tacoma (Tacoma, WA)
University of West Alabama (Livingston, AL)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Green Bay (Green Bay, WI)
University of Wisconsin &#8212; La Crosse (La Crosse, WI)
University of Wisconsin &#8212; Parkside (Kenosha, WI)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; River Falls (River Falls, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
University of Wisconsin &#8212; Superior (Superior, WI)
University of the Virgin Islands (Charlotte Amalie, VI)
University of the Virgin Islands (Charlotte Amalie, VI)
